nranks,pred_ring_s,meas_ring_s,pred_tree_s,meas_mpi_s
2,0.12195467771819327,0.2461188888888889,0.24226339943638656,0.9526342222222222
4,0.18540095057728992,0.5307113333333333,0.4845267988727731,1.269001111111111
8,0.22206195500683823,0.6617976666666667,0.7267901983091597,1.4230744444444445
16,0.2502681932216124,0.8827314444444444,0.9690535977455462,1.673053333333333
32,0.2841227843289995,1.065340777777778,1.2113169971819329,2.339855555555556
